"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing JavaScript Source"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Window","Show System Menu","Alt+-","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Source","Add Block Comment","Ctrl+Shift+/","Editing JavaScript Source"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows"
"Text Editing","Open Hyperlink","F3","in Generic Code Editor"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Refactor - JavaScript","Inline","Alt+Shift+I","JavaScript View"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"Navigate","Matching Character","Ctrl+Shift+P","Editing in Structured Text Editors"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing JavaScript Source"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Run/Debug","Coverage RAP JUnit Test","Alt+Shift+E, R","In Windows"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Terminal view commands","Copy","Ctrl+Shift+C","Terminal Control in Focus"
"Terminal view commands","Terminal view insert","Alt+H","Terminal Typing Connected"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks Editor"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Spy","Layout Spy","Ctrl+Alt+Shift+F9","In Dialogs and Windows"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing JavaScript Source"
